BRAND 2022,RETAIL 2022
TOYOTA,329498
DAIHATSU,18866
HONDA,125411
MITSUBISHI MOTORS,97936
SUZUKI,89067
MITSUBISHI FUSO,38397
ISUZU,33715
HYUNDAI - HMID,30193
HINO,2988
WULING,2427
MAZDA,3701
NISSAN,3529
MERCEDES-BENZ PC,3184
B M W,3023
MERCEDES-BENZ CV,2718
DFSK,2404
UD TRUCKS,195
K I A,169
LEXUS,1
MORRIS GARAGE,959
MINI,719
PEUGEOT,451
VOLKSWAGEN,377
SCANIA,233
TATA,216
FAW,191
SUBARU,152
AUDI,53
HYUNDAI - HIM,5
DATSUN,0
CHERY,0
INFINITI,0
HONGYAN,0
RENAULT,0
