BRAND 2020,RETAIL 2020
TOYOTA,182665
DAIHATSU,100026
HONDA,79451
SUZUKI,72389
MITSUBISHI MOTORS,54768
MITSUBISHI FUSO,24
ISUZU,17855
HINO,13038
WULING,9523
NISSAN,7408
MAZDA,2611
DFSK,2424
MERCEDES-BENZ PC,2227
B M W,2082
MERCEDES-BENZ CV,1193
DATSUN,1069
LEXUS,988
UD TRUCKS,872
K I A,658
HYUNDAI - HIM,581
MINI,483
VOLKSWAGEN,475
RENAULT,330
MORRIS GARAGE,313
TATA,303
FAW,220
SCANIA,217
PEUGEOT,212
HYUNDAI - HMID,181
CHEVROLET,143
AUDI,47
MAN TRUCK,10
INFINITI,0
BYD,0
HONGYAN,0
RENAULT AUTO EURO,0
PROTON,0
